OG_name	Fhon	LAan	LAce	LAdo	LAfl	LAko	LAla	LAni	LAnu	LMbe	LMbo	Laci	Lamy	Lapi	Lapn	Lbre	Lcri	Ldel	Lflo	Lfru	Lgas	Lhls	Lhlv	Ljoh	Lkef	Lkim	Lkul	Llin	Lmlf	Lmls	Lmlv	Loze	Lsan	Ppen	YH15	wB10	wkB8	
OG1.5_1120	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	3	1	1	1	2	1	1	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1121	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	4	1	1	1	2	1	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1122	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	4	1	1	1	2	1	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1123	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	4	1	2	1	2	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1124	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	3	1	1	1	2	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1125	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	3	1	1	1	2	1	1	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1126	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	4	1	1	1	2	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1127	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	3	2	1	1	2	1	1	6	1	1	2	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1128	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	4	1	1	1	2	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1129	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	4	1	1	1	2	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1130	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	4	1	1	1	2	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1131	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	3	1	1	1	2	1	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1132	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	4	1	1	1	2	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1133	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	3	1	1	1	2	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1134	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	4	1	1	1	1	1	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1135	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	4	1	1	1	2	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1136	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	3	2	1	1	2	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1137	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1	4	1	1	1	2	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1138	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	3	1	1	1	2	1	1	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1139	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	3	1	1	1	2	1	1	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1140	1	1	1	1	1	1	1	1	1	1	1	3	1	2	1	6	1	0	1	2	1	2	4	1	1	1	1	1	1	1	2	1	1	1	1	1	1	
OG1.5_1141	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	4	1	1	1	2	1	1	9	1	1	1	1	1	0	0	1	0	1	1	1	1	1	
OG1.5_1142	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	3	1	1	1	2	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1143	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1	4	0	1	1	2	1	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1144	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1	3	1	1	1	2	1	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1145	1	1	1	1	1	1	1	1	1	1	1	5	2	1	1	4	1	1	0	2	1	1	8	1	1	1	1	0	1	1	1	1	0	1	1	1	1	
OG1.5_1146	1	1	1	1	1	1	1	1	1	1	1	2	5	2	0	3	2	0	1	2	1	2	0	1	0	2	1	1	2	2	2	1	1	1	1	2	2	
OG1.5_1147	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	3	1	1	1	2	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1148	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	4	1	1	1	2	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1149	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	4	1	1	1	2	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1150	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	3	1	1	1	2	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1151	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	4	1	1	1	2	1	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1152	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	4	1	1	1	2	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1153	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	4	1	1	1	2	1	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1154	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	3	2	1	1	2	1	1	7	1	1	1	1	1	1	1	1	1	0	1	1	1	1	
