OG_name	Fhon	LAan	LAce	LAdo	LAfl	LAko	LAla	LAni	LAnu	LMbe	LMbo	Lapi	Lapn	Lcri	Ldel	Lflo	Lfru	Lgas	Lhls	Ljoh	Lkef	Lkim	Lkul	Llin	Lmlf	Lmls	Lmlv	Loze	Lsan	Ppen	YH15	wB10	wkB8	Bee	Non Bee	Ratio Bee over non bee	Column1
OG1.5_3323	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	2	0	0	0	0	1	1	0.333333333	0.083333333	4	8
OG1.5_2095	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0.619047619	0.166666667	3.714285714	15
OG1.5_2395	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0.619047619	0.166666667	3.714285714	15
OG1.5_2398	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0.619047619	0.166666667	3.714285714	15
OG1.5_2399	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0.619047619	0.166666667	3.714285714	15
OG1.5_2448	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0.619047619	0.166666667	3.714285714	15
OG1.5_2450	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0.619047619	0.166666667	3.714285714	15
OG1.5_2451	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0.619047619	0.166666667	3.714285714	15
OG1.5_2453	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0.619047619	0.166666667	3.714285714	15
OG1.5_2454	1	1	1	1	1	1	1	1	1	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.619047619	0.166666667	3.714285714	15
OG1.5_2510	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0.619047619	0.166666667	3.714285714	15
OG1.5_2515	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0.619047619	0.166666667	3.714285714	15
OG1.5_2527	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0.619047619	0.166666667	3.714285714	15
OG1.5_2585	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0.619047619	0.166666667	3.714285714	15
OG1.5_2642	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0.619047619	0.166666667	3.714285714	15
OG1.5_2645	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0.619047619	0.166666667	3.714285714	15
OG1.5_2647	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0.619047619	0.166666667	3.714285714	15
OG1.5_2648	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0.619047619	0.166666667	3.714285714	15
OG1.5_2650	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0.619047619	0.166666667	3.714285714	15
OG1.5_2652	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0.619047619	0.166666667	3.714285714	15
OG1.5_1832	0	1	1	1	1	1	1	1	1	0	1	2	1	0	0	0	0	0	2	0	0	1	1	1	1	1	2	1	0	1	1	2	2	1.142857143	0.333333333	3.428571429	28
OG1.5_2513	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0.571428571	0.166666667	3.428571429	14
OG1.5_2514	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0.571428571	0.166666667	3.428571429	14
OG1.5_2583	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0.571428571	0.166666667	3.428571429	14
OG1.5_2630	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.571428571	0.166666667	3.428571429	14
OG1.5_2697	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0.571428571	0.166666667	3.428571429	14
OG1.5_2937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0.285714286	0.083333333	3.428571429	7
OG1.5_3148	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0.285714286	0.083333333	3.428571429	7
OG1.5_3191	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0.285714286	0.083333333	3.428571429	7
